<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
RTS,0,240506,090000,115420,1
RTS,0,240506,090000,115420,1
RTS,0,240506,090000,115420,1
RTS,0,240506,090000,115410,1
RTS,0,240506,090000,115420,2
RTS,0,240506,090000,115410,3
RTS,0,240506,090000,115410,3
RTS,0,240506,090000,115410,1
RTS,0,240506,090000,115410,1
RTS,0,240506,090000,115410,1
RTS,0,240506,090000,115410,1
RTS,0,240506,090000,115410,1
RTS,0,240506,090000,115410,1
RTS,0,240506,090000,115410,3
RTS,0,240506,090000,115410,1
RTS,0,240506,090000,115410,1
RTS,0,240506,090000,115410,1
RTS,0,240506,090000,115410,1
RTS,0,240506,090000,115400,1
RTS,0,240506,090000,115400,1
RTS,0,240506,090000,115400,1
RTS,0,240506,090000,115390,1
RTS,0,240506,090000,115390,1
RTS,0,240506,090000,115390,1
RTS,0,240506,090000,115390,1
RTS,0,240506,090000,115380,1
RTS,0,240506,090000,115380,1
RTS,0,240506,090000,115380,1
RTS,0,240506,090000,115380,1
RTS,0,240506,090000,115380,1
RTS,0,240506,090000,115370,3
RTS,0,240506,090000,115380,1
RTS,0,240506,090000,115370,1
RTS,0,240506,090000,115430,1
RTS,0,240506,090000,115370,1
RTS,0,240506,090000,115370,1
RTS,0,240506,090000,115370,1
RTS,0,240506,090000,115370,2
RTS,0,240506,090000,115370,4
RTS,0,240506,090000,115370,2
RTS,0,240506,090000,115370,1
RTS,0,240506,090000,115360,1
RTS,0,240506,090000,115360,1
RTS,0,240506,090000,115430,2
RTS,0,240506,090000,115360,2
RTS,0,240506,090000,115350,1
RTS,0,240506,090000,115340,1
RTS,0,240506,090001,115340,1
RTS,0,240506,090001,115340,2
RTS,0,240506,090001,115340,1
RTS,0,240506,090001,115340,1
RTS,0,240506,090001,115340,7
RTS,0,240506,090001,115340,6
RTS,0,240506,090001,115430,1
RTS,0,240506,090002,115380,2
RTS,0,240506,090002,115380,1
RTS,0,240506,090002,115330,1
RTS,0,240506,090002,115330,1
RTS,0,240506,090002,115330,1
RTS,0,240506,090002,115330,1
RTS,0,240506,090002,115330,2
RTS,0,240506,090002,115330,1
RTS,0,240506,090002,115330,4
RTS,0,240506,090002,115330,8
RTS,0,240506,090003,115340,1
RTS,0,240506,090003,115330,3
RTS,0,240506,090003,115390,1
RTS,0,240506,090003,115370,2
RTS,0,240506,090010,115330,1
RTS,0,240506,090010,115340,1
RTS,0,240506,090012,115330,3
RTS,0,240506,090013,115340,2
RTS,0,240506,090014,115330,6
RTS,0,240506,090014,115350,2
RTS,0,240506,090014,115340,1
RTS,0,240506,090014,115350,2
RTS,0,240506,090017,115380,2
RTS,0,240506,090018,115390,2
RTS,0,240506,090029,115370,1
RTS,0,240506,090033,115380,1
RTS,0,240506,090041,115380,1
RTS,0,240506,090041,115370,1
RTS,0,240506,090041,115370,2
RTS,0,240506,090041,115360,1
RTS,0,240506,090041,115350,1
RTS,0,240506,090041,115350,3
RTS,0,240506,090041,115350,3
RTS,0,240506,090041,115350,1
RTS,0,240506,090042,115350,1
RTS,0,240506,090042,115350,1
RTS,0,240506,090043,115380,1
RTS,0,240506,090045,115350,1
RTS,0,240506,090045,115350,1
RTS,0,240506,090046,115350,1
RTS,0,240506,090046,115350,1
RTS,0,240506,090047,115350,2
RTS,0,240506,090052,115350,1
RTS,0,240506,090052,115350,4
RTS,0,240506,090053,115350,3
RTS,0,240506,090053,115350,2
RTS,0,240506,090054,115350,1
RTS,0,240506,090054,115350,4
RTS,0,240506,090054,115350,3
RTS,0,240506,090055,115350,3
RTS,0,240506,090056,115350,4
RTS,0,240506,090107,115380,1
RTS,0,240506,090107,115350,5
RTS,0,240506,090107,115350,4
RTS,0,240506,090108,115380,1
RTS,0,240506,090117,115350,1
RTS,0,240506,090120,115350,2
RTS,0,240506,090124,115380,1
RTS,0,240506,090126,115390,3
RTS,0,240506,090126,115390,1
RTS,0,240506,090126,115390,1
RTS,0,240506,090126,115390,1
RTS,0,240506,090126,115400,3
RTS,0,240506,090126,115400,4
RTS,0,240506,090126,115400,1
RTS,0,240506,090126,115400,1
RTS,0,240506,090126,115410,1
RTS,0,240506,090128,115390,1
RTS,0,240506,090128,115390,1
RTS,0,240506,090128,115380,1
RTS,0,240506,090128,115380,1
RTS,0,240506,090128,115380,1
RTS,0,240506,090131,115410,2
RTS,0,240506,090133,115410,1
RTS,0,240506,090133,115390,1
RTS,0,240506,090133,115390,1
RTS,0,240506,090133,115390,2
RTS,0,240506,090133,115390,1
RTS,0,240506,090137,115390,2
RTS,0,240506,090137,115390,1
RTS,0,240506,090139,115390,1
RTS,0,240506,090139,115380,2
RTS,0,240506,090140,115420,3
RTS,0,240506,090140,115420,1
RTS,0,240506,090145,115410,1
RTS,0,240506,090155,115400,1
RTS,0,240506,090155,115410,1
RTS,0,240506,090200,115390,1
RTS,0,240506,090203,115390,1
RTS,0,240506,090203,115390,1
RTS,0,240506,090204,115390,1
RTS,0,240506,090204,115390,4
RTS,0,240506,090204,115390,6
RTS,0,240506,090204,115390,3
RTS,0,240506,090204,115390,4
RTS,0,240506,090204,115390,4
RTS,0,240506,090204,115390,3
RTS,0,240506,090204,115390,4
RTS,0,240506,090204,115390,1
RTS,0,240506,090204,115390,4
RTS,0,240506,090204,115400,7
RTS,0,240506,090204,115400,1
RTS,0,240506,090204,115400,3
RTS,0,240506,090204,115400,4
RTS,0,240506,090204,115400,1
RTS,0,240506,090205,115400,2
RTS,0,240506,090205,115400,1
RTS,0,240506,090205,115390,1
RTS,0,240506,090205,115390,2
RTS,0,240506,090210,115400,1
RTS,0,240506,090212,115410,1
RTS,0,240506,090212,115410,1
RTS,0,240506,090212,115410,1
RTS,0,240506,090212,115420,2
RTS,0,240506,090214,115400,1
RTS,0,240506,090214,115390,1
RTS,0,240506,090218,115390,1
RTS,0,240506,090235,115410,1
RTS,0,240506,090235,115400,2
RTS,0,240506,090235,115400,3
RTS,0,240506,090235,115400,1
RTS,0,240506,090238,115400,1
RTS,0,240506,090240,115390,3
RTS,0,240506,090247,115390,1
RTS,0,240506,090251,115400,1
RTS,0,240506,090301,115390,3
RTS,0,240506,090301,115390,1
RTS,0,240506,090301,115390,2
RTS,0,240506,090307,115400,1
RTS,0,240506,090307,115400,1
